STATE,TRUMP,CLINTON,OTHERS,TOTAL
AL,1318255.00,729547.00,75570.00,2123372.00
AK,163387.00,116454.00,38767.00,318608.00
AZ,1252401.00,1161167.00,159597.00,2573165.00
AR,684872.00,380494.00,65310.00,1130676.00
CA,4483814.00,8753792.00,943998.00,14181604.00
CO,1202484.00,1338870.00,238893.00,2780247.00
CT,673215.00,897572.00,74133.00,1644920.00
DE,185127.00,235603.00,23084.00,443814.00
DC,12723.00,282830.00,15715.00,311268.00
FL,4617886.00,4504975.00,297178.00,9420039.00
GA,2089104.00,1877963.00,147665.00,4114732.00
HI,128847.00,266891.00,33199.00,428937.00
ID,409055.00,189765.00,91435.00,690255.00
IL,2146015.00,3090729.00,299680.00,5536424.00
IN,1557286.00,1033126.00,144546.00,2734958.00
IA,800983.00,653669.00,111379.00,1566031.00
KS,671018.00,427005.00,86379.00,1184402.00
KY,1202971.00,628854.00,92324.00,1924149.00
LA,1178638.00,780154.00,70240.00,2029032.00
ME,335593.00,357735.00,54599.00,747927.00
MD,943169.00,1677928.00,160349.00,2781446.00
MA,1090893.00,1995196.00,238957.00,3325046.00
MI,2279543.00,2268839.00,250902.00,4799284.00
MN,1322951.00,1367716.00,254146.00,2944813.00
MS,700714.00,485131.00,23512.00,1209357.00
MO,1594511.00,1071068.00,143026.00,2808605.00
MT,279240.00,177709.00,40198.00,497147.00
NE,495961.00,284494.00,63772.00,844227.00
NV,512058.00,539260.00,74067.00,1125385.00
NH,345790.00,348526.00,49980.00,744296.00
NJ,1601933.00,2148278.00,123835.00,3874046.00
NM,319667.00,385234.00,93418.00,798319.00
NY,2819533.00,4556118.00,345791.00,7721442.00
NC,2362631.00,2189316.00,189617.00,4741564.00
ND,216794.00,93758.00,33808.00,344360.00
OH,2841005.00,2394164.00,261318.00,5496487.00
OK,949136.00,420375.00,83481.00,1452992.00
OR,782403.00,1002106.00,216827.00,2001336.00
PA,2970733.00,2926441.00,268304.00,6165478.00
RI,180543.00,252525.00,31076.00,464144.00
SC,1155389.00,855373.00,92265.00,2103027.00
SD,227721.00,117458.00,24914.00,370093.00
TN,1522925.00,870695.00,114407.00,2508027.00
TX,4685047.00,3877868.00,406311.00,8969226.00
UT,515231.00,310676.00,305523.00,1131430.00
VT,95369.00,178573.00,41125.00,315067.00
VA,1769443.00,1981473.00,233715.00,3984631.00
WA,1221747.00,1742718.00,352554.00,3317019.00
WV,489371.00,188794.00,36258.00,714423.00
WI,1405284.00,1382536.00,188330.00,2976150.00
WY,174419.00,55973.00,25457.00,255849.00